Label,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128_finetuning_old/checkpoint-15486,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128/checkpoint-15486
Song,0.5454545454545454,0.6407766990291262
Rating,0.6869070208728653,0.7714843749999999
Director,0.858085808580858,0.835016835016835
Trailer,0.3928571428571428,0.7142857142857142
mitrestaurant.ner.entities
Rating,0.24124513618677043,0.18250950570342206
Location,0.6085825747724317,0.337809187279152
Amenity,0.44386422976501305,0.30723781388478577
Cuisine,0.6155717761557178,0.6282208588957054
Hours,0.45476772616136923,0.3341404358353511
Price,0.5273311897106109,0.46357615894039733
Dish,0.5625,0.5798816568047337
RestaurantName,0.7011952191235059,0.7435549525101764
crossner.crossner_ai.entities
Algorithm,0.62874251497006,0.6335403726708074
Conference,0.6625766871165644,0.6296296296296297
Organization,0.709480122324159,0.7257142857142858
Task,0.5449438202247191,0.6511627906976744
Other,0.03125,0.032432432432432434
Product,0.5650793650793651,0.5798816568047337
Field,0.44897959183673475,0.3957597173144876
Metric,0.5434782608695652,0.5090909090909091
Researcher,0.582608695652174,0.10650887573964499
ProgrammingLanguage,0.8793103448275861,0.8771929824561403
Country,0.72,0.865979381443299
Location,0.7692307692307693,0.7945205479452054
Person,0.5463414634146342,0.42214532871972316
University,0.55,0.4444444444444445
crossner.crossner_music.entities
Song,0.8480725623582767,0.8141176470588235
Band,0.6966887417218541,0.4337748344370861
Album,0.8717948717948718,0.8667687595712098
MusicGenre,0.7195402298850575,0.6444708680142687
MusicalArtist,0.3105590062111801,0.21523178807947022
Organization,0.5802469135802468,0.3227752639517345
Person,0.22664015904572565,0.23946037099494097
Other,0.045714285714285714,0.13541666666666666
Country,0.6771653543307087,0.8083832335329341
Location,0.716012084592145,0.5842696629213483
MusicalInstrument,0.5000000000000001,0.39999999999999997
Award,0.7880085653104925,0.725050916496945
Event,0.43636363636363634,0.4583333333333333
crossner.crossner_politics.entities
Country,0.5305466237942122,0.6317103620474407
Politician,0.07465618860510806,0.0
Election,0.8434285714285715,0.8099547511312216
Person,0.5529197080291971,0.5683151718357082
Organization,0.5046153846153846,0.4475308641975309
Location,0.74822695035461,0.7939949958298582
Other,0.022813688212927757,0.09824561403508772
Event,0.625,0.6408839779005525
PoliticalParty,0.6312961719274681,0.14051973051010588
crossner.crossner_literature.entities
Writer,0.5935637663885578,0.3236151603498542
Book,0.7844925883694412,0.7807737397420867
LiteraryGenre,0.2454873646209386,0.4041811846689896
Other,0.15037593984962405,0.3514376996805112
Person,0.4490500863557858,0.39263803680981596
Organization,0.6165413533834586,0.6254545454545455
Poem,0.6178010471204188,0.6016949152542374
Location,0.5988700564971752,0.631578947368421
